HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980.00,127.00,565.00,772.00,68.00,98.00,226444.00,50412.00,90578.00,19125.00,4180.00,1275.00,2.26,1.65,1.30,638.00,1.13,0.83,0.65,416.00,0.74,0.54,0.42,279.00,4.10,2.85,2.20,139.00,2.04,1.42,1.09,91.00,1.34,0.93,0.72
"Akron, OH",1358.00,186.00,518.00,938.00,94.00,140.00,547990.00,111042.00,219196.00,45867.00,9917.00,3058.00,5.90,3.26,2.25,1529.00,2.95,1.63,1.13,997.00,1.92,1.06,0.73,661.00,7.03,4.72,3.55,331.00,3.52,2.36,1.78,216.00,2.30,1.54,1.16
"Alameda County, CA",2695.00,293.00,665.00,1680.00,139.00,216.00,1310189.00,214991.00,524076.00,107744.00,22800.00,7183.00,10.80,4.28,2.67,3591.00,5.40,2.14,1.33,2342.00,3.52,1.39,0.87,1520.00,10.94,7.04,5.19,760.00,5.47,3.52,2.59,496.00,3.57,2.30,1.69
"Albany, GA",704.00,60.00,221.00,462.00,27.00,43.00,157143.00,30466.00,62857.00,13101.00,2819.00,873.00,3.95,1.89,1.24,437.00,1.98,0.95,0.62,285.00,1.29,0.62,0.40,188.00,6.96,4.37,3.13,94.00,3.48,2.19,1.57,61.00,2.26,1.42,1.02
"Albany, NY",4804.00,425.00,1579.00,3191.00,193.00,309.00,1477723.00,318695.00,591089.00,124417.00,27091.00,8294.00,5.25,2.60,1.73,4147.00,2.63,1.30,0.86,2705.00,1.71,0.85,0.56,1806.00,9.36,5.84,4.25,903.00,4.68,2.92,2.12,589.00,3.05,1.91,1.39
"Albuquerque, NM",2908.00,380.00,1102.00,2005.00,161.00,270.00,1336795.00,279457.00,534718.00,112216.00,24348.00,7481.00,6.79,3.73,2.57,3741.00,3.39,1.87,1.29,2439.00,2.21,1.22,0.84,1623.00,10.08,6.01,4.27,812.00,5.04,3.01,2.14,529.00,3.29,1.96,1.39
"Alexandria, LA",917.00,43.00,402.00,660.00,20.00,31.00,221597.00,44519.00,88639.00,18533.00,4003.00,1236.00,3.07,1.87,1.35,618.00,1.54,0.94,0.67,403.00,1.00,0.61,0.44,267.00,13.35,8.61,6.21,133.00,6.65,4.29,3.09,87.00,4.35,2.81,2.02
"Allentown, PA",3267.00,334.00,1267.00,2267.00,143.00,238.00,960572.00,207376.00,384229.00,80884.00,17614.00,5392.00,4.26,2.38,1.65,2696.00,2.13,1.19,0.83,1758.00,1.39,0.78,0.54,1174.00,8.21,4.93,3.51,587.00,4.10,2.47,1.76,383.00,2.68,1.61,1.15
"Altoona, PA",555.00,61.00,234.00,394.00,27.00,44.00,234560.00,56483.00,93824.00,19973.00,4407.00,1332.00,5.69,3.38,2.40,666.00,2.85,1.69,1.20,434.00,1.85,1.10,0.78,294.00,10.89,6.68,4.82,147.00,5.44,3.34,2.41,96.00,3.56,2.18,1.57
"Amarillo, TX",1236.00,194.00,678.00,957.00,79.00,137.00,332671.00,61267.00,133068.00,27611.00,5910.00,1841.00,2.72,1.92,1.49,920.00,1.36,0.96,0.74,600.00,0.88,0.63,0.49,394.00,4.99,2.88,2.03,197.00,2.49,1.44,1.02,128.00,1.62,0.93,0.66
"Anchorage, AK",1583.00,130.00,533.00,1058.00,55.00,93.00,551912.00,74327.00,220765.00,44770.00,9311.00,2985.00,5.60,2.82,1.89,1492.00,2.80,1.41,0.94,973.00,1.83,0.92,0.61,621.00,11.29,6.68,4.78,310.00,5.64,3.33,2.38,202.00,3.67,2.17,1.55
"Ann Arbor, MI",3014.00,406.00,876.00,1945.00,122.00,264.00,1115589.00,209105.00,446236.00,92731.00,19883.00,6182.00,7.06,3.18,2.05,3091.00,3.53,1.59,1.03,2016.00,2.30,1.04,0.67,1326.00,10.87,5.02,3.27,663.00,5.43,2.51,1.63,432.00,3.54,1.64,1.06
"Appleton, WI",448.00,72.00,222.00,335.00,37.00,54.00,254546.00,52373.00,101818.00,21336.00,4621.00,1422.00,6.41,4.24,3.17,711.00,3.20,2.12,1.59,464.00,2.09,1.39,1.04,308.00,8.32,5.70,4.28,154.00,4.16,2.85,2.14,100.00,2.70,1.85,1.39
"Arlington, VA",3116.00,450.00,995.00,2055.00,173.00,312.00,1909537.00,270129.00,763815.00,155390.00,32450.00,10359.00,10.41,5.04,3.32,5180.00,5.21,2.52,1.66,3378.00,3.39,1.64,1.08,2163.00,12.50,6.93,4.81,1082.00,6.25,3.47,2.40,705.00,4.08,2.26,1.57
