,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
0,60002,0,0,0,8,6,0,0,0,7,0,13,0,0,0,0,0,13,14,0
1,60004,0,8,0,9,12,10,0,0,21,0,15,0,6,0,0,0,28,20,0
2,60005,0,0,6,6,6,0,0,0,8,0,9,0,0,6,0,0,17,16,0
3,60007,0,0,6,0,14,8,9,0,20,0,14,0,0,7,0,0,23,22,0
4,60008,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,16,11,0
5,60010,0,0,0,0,0,7,0,0,14,0,10,0,0,0,0,0,12,15,0
6,60012,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,8,7,0
7,60013,0,0,6,0,7,9,0,0,19,0,6,0,0,0,0,0,12,18,0
8,60014,0,0,6,0,6,6,0,0,20,0,0,0,0,0,0,0,11,18,0
9,60015,0,12,0,11,13,7,9,8,46,0,9,7,0,0,0,0,30,34,0
10,60016,0,23,32,30,33,25,11,15,40,8,48,38,22,13,0,0,88,82,0
11,60018,0,12,12,12,12,11,6,0,15,6,19,6,0,16,0,0,36,30,0
12,60020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,60021,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
14,60022,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,7,0
15,60025,0,18,0,28,37,15,10,14,78,0,13,14,15,0,0,0,58,67,0
16,60026,0,0,7,9,9,0,0,14,28,0,7,7,7,0,0,0,20,32,0
17,60030,0,7,0,0,7,0,0,0,14,0,8,0,0,0,0,0,14,17,0
18,60031,0,14,8,10,22,6,0,0,23,0,14,8,0,11,0,0,27,36,0
19,60035,0,12,10,19,16,11,6,15,64,0,12,7,0,0,0,0,56,33,0
20,60040,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
21,60042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,60043,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,8,0,0
23,60044,0,0,0,0,0,0,7,10,14,0,0,0,0,0,0,0,17,12,0
24,60045,0,0,0,10,20,12,0,10,45,0,16,0,0,0,0,0,31,38,0
25,60046,0,0,6,7,14,7,0,0,22,0,7,0,0,7,0,0,26,18,0
26,60047,0,0,0,0,0,0,0,12,27,0,6,0,0,0,0,0,18,17,0
