,Area_name,all_ages_poverty_2018,all_ages_poverty_rate_2018,median_HH_2018
0,United States,"41,852,315",13.1,61937
1,Alabama,"801,758",16.8,49881
2,Autauga County,"7,587",13.8,59338
3,Baldwin County,"21,069",9.8,57588
4,Barbour County,"6,788",30.9,34382
5,Bibb County,"4,400",21.8,46064
6,Blount County,"7,527",13.2,50412
7,Bullock County,"3,610",42.5,29267
8,Butler County,"4,731",24.5,37365
9,Calhoun County,"21,719",19.5,45400
10,Chambers County,"6,181",18.7,39917
11,Cherokee County,"4,180",16.3,42132
12,Chilton County,"7,542",17.3,47547
13,Choctaw County,"2,806",22.1,39907
14,Clarke County,"5,381",22.8,40741
15,Clay County,"2,285",17.6,39201
16,Cleburne County,"2,356",16.0,46495
17,Coffee County,"7,053",13.8,55122
18,Colbert County,"7,459",13.8,49055
19,Conecuh County,"2,979",24.4,32613
20,Coosa County,"1,973",18.9,42423
21,Covington County,"7,239",19.9,40203
22,Crenshaw County,"2,661",19.5,39057
23,Cullman County,"11,925",14.5,45796
24,Dale County,"7,743",16.2,45309
25,Dallas County,"11,841",31.4,34035
26,DeKalb County,"14,975",21.3,39491
27,Elmore County,"8,559",11.2,60367
28,Escambia County,"8,022",23.6,38418
29,Etowah County,"17,509",17.5,44903
30,Fayette County,"3,801",23.5,39254
31,Franklin County,"5,939",19.2,39388
32,Geneva County,"5,537",21.3,37823
33,Greene County,"2,459",30.1,28524
34,Hale County,"3,705",25.6,34724
35,Henry County,"3,037",17.9,46027
36,Houston County,"17,032",16.5,47993
37,Jackson County,"10,046",19.7,41929
38,Jefferson County,"103,604",16.1,55013
39,Lamar County,"2,374",17.4,40936
40,Lauderdale County,"12,645",14.0,48707
41,Lawrence County,"6,297",19.3,43909
42,Lee County,"30,075",19.0,48937
43,Limestone County,"10,633",11.4,64863
44,Lowndes County,"2,474",25.1,33973
45,Macon County,"5,031",30.2,32495
46,Madison County,"42,667",11.9,63755
47,Marengo County,"4,499",24.0,37733
48,Marion County,"5,844",20.2,37887
49,Marshall County,"17,341",18.3,46233
50,Mobile County,"84,539",20.8,43598
51,Monroe County,"4,560",21.9,39556
52,Montgomery County,"43,567",20.1,49640
53,Morgan County,"15,419",13.2,52797
54,Perry County,"2,943",35.3,26814
55,Pickens County,"4,177",23.1,37586
56,Pike County,"7,315",23.6,37259
57,Randolph County,"4,375",19.7,40546
58,Russell County,"12,384",21.7,39104
59,St. Clair County,"10,432",12.0,57284
60,Shelby County,"16,916",8.0,75663
61,Sumter County,"4,076",34.7,27859
62,Talladega County,"14,825",19.3,41630
63,Tallapoosa County,"7,839",19.7,42205
64,Tuscaloosa County,"33,330",16.8,52557
65,Walker County,"11,231",17.9,45434
66,Washington County,"2,846",17.6,44424
67,Wilcox County,"3,504",33.4,25385
68,Winston County,"4,338",18.6,41156
69,Alaska,"80,224",11.1,74912
70,Aleutians East Borough,544,15.5,70081
71,Aleutians West Census Area,550,10.0,82633
72,Anchorage Borough,"27,075",9.5,82113
73,Bethel Census Area,"5,869",32.7,44304
74,Bristol Bay Borough,96,11.2,77257
75,Denali Borough,135,6.9,75477
76,Dillingham Census Area,"1,091",22.0,54524
77,Fairbanks North Star Borough,"8,104",8.6,74268
78,Haines Borough,259,10.5,58943
79,Hoonah-Angoon Census Area,370,17.2,51188
80,Juneau Borough,"2,299",7.3,79173
81,Kenai Peninsula Borough,"7,103",12.4,65439
82,Ketchikan Gateway Borough,"1,244",9.1,68309
83,Kodiak Island Borough,"1,073",8.2,74109
84,Kusilvak Census Area,"2,905",35.1,32728
85,Lake and Peninsula Borough,288,18.2,49403
86,Matanuska-Susitna Borough,"10,937",10.4,74649
87,Nome Census Area,"2,168",22.0,55318
88,North Slope Borough,"1,094",11.1,89276
89,Northwest Arctic Borough,"1,604",21.1,59337
90,Petersburg Borough,232,7.2,66075
91,Prince of Wales-Hyder Census Area,"1,057",16.5,49356
92,Sitka Borough,656,7.7,71825
93,Skagway Municipality,49,4.3,74635
94,Southeast Fairbanks Census Area,918,13.4,63527
95,Valdez-Cordova Census Area,880,9.7,68528
96,Wrangell City and Borough,287,11.6,57832
97,Yakutat Borough,79,13.1,59523
98,Yukon-Koyukuk Census Area,"1,259",23.7,38912
99,Arizona,"990,291",14.1,59079
100,Apache County,"26,435",37.3,33652
101,Cochise County,"18,273",15.1,49164
102,Coconino County,"20,964",15.9,60187
103,Gila County,"10,804",20.4,43585
104,Graham County,"7,118",20.2,50157
105,Greenlee County,985,10.5,65818
106,La Paz County,"4,921",23.7,37350
107,Maricopa County,"535,183",12.3,65234
108,Mohave County,"34,411",16.8,45129
109,Navajo County,"30,876",28.5,40650
110,Pima County,"164,927",16.2,53395
111,Pinal County,"54,399",12.9,58848
112,Santa Cruz County,"11,287",24.4,40545
113,Yavapai County,"30,060",13.2,48758
114,Yuma County,"39,648",19.5,44116
115,Arkansas,"492,306",16.8,47094
116,Arkansas County,"3,120",17.9,43887
117,Ashley County,"3,876",19.6,41127
118,Baxter County,"6,216",15.1,39686
119,Benton County,"23,290",8.6,68978
120,Boone County,"5,472",14.8,44482
121,Bradley County,"2,329",21.7,37729
122,Calhoun County,800,15.7,44969
123,Carroll County,"4,499",16.1,45023
124,Chicot County,"3,039",31.4,31787
125,Clark County,"3,838",19.9,45408
126,Clay County,"3,035",20.7,37687
127,Cleburne County,"3,573",14.6,44902
128,Cleveland County,"1,232",15.5,47600
129,Columbia County,"4,799",22.4,40909
130,Conway County,"3,693",17.9,44565
131,Craighead County,"18,768",17.9,45615
132,Crawford County,"10,027",16.0,47363
133,Crittenden County,"9,056",19.2,42606
134,Cross County,"2,940",18.0,41214
135,Dallas County,"1,442",21.3,37259
136,Desha County,"2,780",24.3,36132
137,Drew County,"3,391",19.5,42494
138,Faulkner County,"18,571",15.4,53882
139,Franklin County,"3,202",18.3,43696
140,Fulton County,"2,481",20.6,35630
141,Garland County,"19,844",20.4,43610
142,Grant County,"2,353",13.1,52050
143,Greene County,"7,361",16.5,46512
144,Hempstead County,"4,424",20.6,38682
145,Hot Spring County,"5,844",18.7,47205
146,Howard County,"2,271",17.3,40199
147,Independence County,"5,302",14.5,45596
148,Izard County,"2,358",18.7,37828
149,Jackson County,"3,732",25.6,36573
150,Jefferson County,"13,900",22.2,38596
151,Johnson County,"5,761",22.2,39381
152,Lafayette County,"1,498",22.8,35527
153,Lawrence County,"2,776",17.7,40308
154,Lee County,"3,098",43.0,28080
155,Lincoln County,"2,647",27.5,44951
156,Little River County,"1,942",16.0,43559
157,Logan County,"3,950",18.6,41471
158,Lonoke County,"8,651",11.9,56651
159,Madison County,"3,002",18.4,42674
160,Marion County,"3,082",18.7,36581
161,Miller County,"9,228",21.9,42162
162,Mississippi County,"10,325",25.7,36718
163,Monroe County,"1,769",26.0,32922
164,Montgomery County,"1,649",18.8,38318
165,Nevada County,"1,738",21.3,37626
166,Newton County,"1,340",17.4,36078
167,Ouachita County,"5,410",23.3,37624
168,Perry County,"1,502",14.7,45342
169,Phillips County,"6,301",35.4,29945
170,Pike County,"1,856",17.8,41534
171,Poinsett County,"5,592",23.7,37370
172,Polk County,"3,962",20.0,39048
173,Pope County,"9,647",16.0,45788
174,Prairie County,"1,254",15.8,43245
175,Pulaski County,"64,312",16.7,49957
176,Randolph County,"3,050",17.4,37799
177,St. Francis County,"7,586",35.6,33257
178,Saline County,"11,695",9.7,63677
179,Scott County,"2,054",20.2,35826
180,Searcy County,"1,912",24.3,31659
181,Sebastian County,"19,527",15.6,46843
182,Sevier County,"3,402",20.1,44100
183,Sharp County,"3,541",20.7,36032
184,Stone County,"2,497",20.3,34009
185,Union County,"7,000",18.2,45335
186,Van Buren County,"2,685",16.4,40486
187,Washington County,"34,741",15.2,50893
188,White County,"12,505",16.6,44811
189,Woodruff County,"1,509",23.7,34306
190,Yell County,"3,453",16.3,41729
191,California,"4,972,955",12.8,75250
192,Alameda County,"147,394",9.0,101744
193,Alpine County,190,17.3,55384
194,Amador County,"4,130",11.8,58515
195,Butte County,"42,016",18.5,50945
